videogames_id,name,company,genre,language,viedogame_release_country,release_year
1231,Super Mario Bros,Nintendo,2D Plattom,English,USA,1985
1232,Mario Kart 8,Nintendo,Racing,English,USA,2014
1233,Persona 5 Royal,P Studio,Adventure,Japanese,JPN,2019
1234,Assassin Creed: Valhalla,Ubisoft,Role-Playing,French,FRA,2020
1235,Genshin Impact,miHoyo,Role-Playing,Chinese,CHN,2020
1236,Indus Battle Royale,SuperGaming,Battle Royale,Hindi,IND,2023
1237,Prince of Persia: The Sands of Time,Ubisoft,Plaform,Farsi,IRN,2003
1238,Rome:Total War,Creative Assembly,Strategy,English,GBR,2004
1239,Tocix BUnny,Celestial Games,Platform,English,ZAF,1996
1240,Rome II,Sega,Strategy,English,GBR,2013